410nm,435nm,460nm,485nm,510nm,535nm,560nm,585nm,610nm,645nm,680nm,705nm,730nm,760nm,810nm,860nm,900nm,940nm,label
1.180173062,1.229235904,1.188863839,1.316666644,1.338709681,1.251818134,1.196721267,1.204819275,1.249855883,1.203007504,1.320588207,1.107692317,1.159420243,1.166666683,1.200000045,1.117647122,1.176470612,1.058823533,PET
1.181589265,1.268438543,1.187509436,1.233333386,1.193548449,1.137272698,1.180327843,1.267228976,1.35360231,1.222932331,1.611764681,1.153846167,1.220289825,1.166666683,1.300000011,1.235294146,1.360784299,1.058823533,PET
1.0215482892894805,1.0500000139901269,1.155737667344183,1.0172222209728827,1.131147556363323,1.1489247978875854,1.032258026361576,0.9891346574542788,0.9854280683891424,0.9812121074591412,1.0708333348027756,1.0740740807302287,1.0,1.0,1.0999999659240107,1.1270832972478544,1.176470612106758,1.0,PET
1.132748067062255,1.2833333566502114,1.5103824980591083,1.1827777669367343,1.3262295567593414,1.4446237634435577,1.1935483868424106,1.152502931157276,1.0651184060667362,1.0557575352380433,1.258333285153435,1.2116402306577958,1.0047619030880053,1.1666666830775194,1.1966667094509644,1.5645833616399067,1.3594771096833025,1.0,PET
2.14766922,2.082121155,2.080869446,2.092380958,2.324922991,2.199701984,1.869508226,1.785287449,1.968918809,1.672727196,1.680000003,1.484375043,1.571428546,1.500000049,2.10000008,2.292993538,1.599999945,1.111111062,PET
1.220456288,2.078405273,2.809781742,2.101999929,2.255161282,2.448787836,2.965573774,1.671807262,2.916714629,1.363157895,4.997058842,4.426153857,3.147826091,3.213333406,3.225999962,4.823529506,2.38823534,1.12941177,PET
1.235247832,1.395348815,1.303987919,1.316666644,1.419354904,1.348484863,1.131147572,1.168674713,1.167146956,1.165413491,1.044117677,1.076923084,1.159420243,1.163333349,1.099999966,1.0,1.176470612,1.058823533,PET
3.251612883,1.920597982,1.509104603,1.166666655,1.467742037,1.48484847,1.196721267,1.765542275,1.296829929,1.578947386,1.841176487,1.923077003,1.304347818,1.333333366,1.200000045,1.117647122,1.764705783,1.294117664,PET
1.715027577,2.03455149,1.949285221,2.171000006,2.048387133,1.959696931,1.885245912,2.003614456,2.370893352,1.861278173,2.188235298,1.692307666,1.884057851,1.669999969,1.960000014,1.529411805,1.568627393,1.17647054,PET
1.646616541,1.515151434,1.399275336,1.752698401,1.723999961,1.415797349,2.924918058,2.71931038,2.162162126,2.580727211,1.224999992,1.718749975,1.714285639,1.500000049,2.098000078,1.796178387,1.599999945,1.111111062,PET
1.275037598,1.660909073,1.530144854,1.952380887,1.954153813,1.743666222,1.348196744,1.28919545,1.311891852,1.254909034,1.157499987,1.171875015,1.142857093,1.166666683,1.600000023,1.798726153,1.324000002,1.0,PET
1.707631772,1.777408677,1.726862269,1.700000022,1.596774225,1.5,1.885245912,2.306506066,1.411815532,2.163157927,1.173529436,1.850769223,1.165217346,1.166666683,1.300000011,1.294117659,2.156862699,1.294117664,PET
