410nm,435nm,460nm,485nm,510nm,535nm,560nm,585nm,610nm,645nm,680nm,705nm,730nm,760nm,810nm,860nm,900nm,940nm,label
3.625540929148037,3.184748383584675,3.819235095274742,3.318280656804687,3.5084645654055966,3.505603954647296,3.573981671479564,3.24683162473788,3.509582599298801,3.0415579318226538,6.145454259607023,2.9978672325928026,3.0401880308820988,2.665531322358359,3.398135251510099,6.201239813599184,2.980483780920663,1.4964677855572754,PE
2.101148998439178,1.8953790350917474,1.9763967250574004,1.9344732681210017,2.056774207284,1.9329789090717502,1.981368804354476,1.9166120717290736,2.0290737053105636,1.7144946376692616,2.538834446948402,1.6657826273471215,1.5994965155037983,1.501572839500013,1.8986975521575455,2.84638710978439,1.6015846145370045,1.2212257450639616,PE
2.988316390650833,3.4204107957280967,3.697319026964691,3.8755515221668277,4.380898638385935,4.447448946152848,3.1948648201932195,3.0348199066564465,3.554196921124565,2.622779091163751,3.3467010909683963,2.5745663939560997,2.69155128671502,2.385502960033232,3.172469526235927,4.113285483116895,2.1459621559127977,1.4188217238546559,PE
1.96746203002407,2.3128960167545523,2.704732345745336,1.5953709581541662,1.952530530556145,2.1254658029194426,1.304588830928918,1.5231905909894166,1.6021948504395571,1.6965108793891486,2.6803911507960696,1.6632447198795612,1.8813296651183515,1.6632569469381682,1.5007781495613217,1.8673781940074636,1.7994256371019908,1.343928121657758,PE
1.6973876460252926,1.595278054302133,1.5753922336701933,1.6309608559136832,1.675275601304606,1.5390451451524345,1.7966765265031632,1.6363093276297611,1.6703283732418754,1.5162230898250815,1.9970753413586,1.4640972101752612,1.4521334713641953,1.3404532892425194,1.699566222417462,1.8884355511440754,1.5646396015397301,1.1657888999943722,PE
2.260335674827995,2.5815374925495798,2.3495768679685947,2.554598626996301,2.822673327517626,2.2041171031614284,2.08463206540835,2.3755906158678677,2.367621483490735,2.2248910102643267,1.8159446383207438,1.8352276346059293,2.0277546216676714,1.5031603942613085,1.7990516990788323,1.7254550864930838,1.996062314022163,1.3454521635866872,PE
2.2332607997433906,3.006247403346411,2.9609383823565385,2.5816793904168174,3.0484686715368263,2.650082212954954,2.1788110580302034,2.3569029961667174,2.758566430222235,2.1734799818283266,2.7571818084376227,2.0010366285327215,2.6120708443629153,2.0004708850162283,2.1216914377351044,2.115989197499884,2.3504737948460246,1.409829492902969,PE
2.1671838965167316,2.014551457808518,2.325952755253151,1.897752939644695,1.996343947577276,1.9071876517366642,2.0208713151206985,1.8866165469358815,1.8080353716154844,1.6750978319016256,2.4973634707395127,1.6635113352148316,1.6038967313272061,1.5230879433727524,1.7965404970061079,2.2654208303902372,1.6132177438321147,1.221807884376436,PE
3.6237107049834587,3.186537522267038,3.8224384915865484,3.3258569896886776,3.507267119105168,3.5068204416955995,3.576620961733775,3.2449391896212014,3.513910244079057,3.0337994917058304,6.152960935020955,2.9988967042451353,3.0457485879524206,2.668826013271197,3.4015604530908803,6.199825230302004,2.9770471572802006,1.4964132746322438,PE
2.0999114590380303,1.8917935394923957,1.974209216545802,1.9312137355485655,2.0611682027635716,1.9323009239698694,1.9775056625481717,1.912333335959634,2.0241809213201396,1.7136300406416987,2.53424402919777,1.667426220238617,1.6005619744533763,1.4977947030243535,1.8996928343623072,2.8429313394578983,1.6002219240962208,1.2192432986625277,PE
