,value
410nm,101.25870666503906
435nm,54.53413391113281
460nm,116.50447082519531
485nm,52.58583450317383
510nm,44.72749710083008
535nm,45.012298583984375
560nm,32.25165557861328
585nm,43.562129974365234
610nm,79.76559295654297
645nm,23.450576782226562
680nm,8.923808193206787
705nm,5.306558227539062
730nm,5.426020622253418
760nm,4.842701435089111
810nm,8.396008491516113
860nm,18.389623641967773
900nm,3.525034499168396
940nm,8.555315017700195
